SCHOOL NAME,NUM STUDENTS
47 The American Sign Language and English Secondary School,327
A. Philip Randolph Campus High School,650
ACADEMY FOR HEALTH CAREERS,160
ACADEMY FOR PERSONAL LEADERSHIP AND EXCELLENCE,315
ACORN Community High School,928
ACORN High School for Social Justice,543
Abraham Lincoln High School,949
Academy for College Preparation and Career Exploration: A College Board School,785
Academy for Conservation and the Environment,342
Academy for Language and Technology,332
Academy for Scholarship and Entrepreneurship: A College Board School,806
Academy for Social Action: A College Board School,842
Academy for Young Writers,387
Academy of Applied Mathematics and Technology,307
Academy of Business and Community Development,406
Academy of Collaborative Education,127
Academy of Environmental Science Secondary High School,412
Academy of Finance and Enterprise,802
Academy of Hospitality and Tourism,426
Academy of Innovative Technology,405
Academy of Public Relations,242
Accion Academy,346
Agnes Y. Humphrey School for Leadership,144
Alfred E. Smith Career and Technical Education High School,797
Amistad Dual Language School,345
Ampark Neighborhood,132
Andries Hudde,530
"Antonia Pantoja Preparatory Academy, A College Board School",561
"Archimedes Academy for Math, Science and Technology Applications",219
Art and Design High School,808
Arts & Media Preparatory Academy,518
Aspirations Diploma Plus High School,213
Aspire Preparatory Middle School,719
Astor Collegiate Academy,780
Automotive High School,765
Aviation Career & Technical Education High School,782
BATTERY PARK CITY SCHOOL,113
BAYCHESTER ACADEMY,101
BELL Academy,497
BRONX BRIDGES HIGH SCHOOL,187
BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,306
BROOKLYN SCHOOL OF INQUIRY,83
BUSINESS OF SPORTS SCHOOL,340
"Ballet Tech, NYC Public School for Dance",255
Banana Kelly High School,737
Bard High School Early College,251
Bard High School Early College II,286
Baruch College Campus High School,398
Bayard Rustin Educational Complex,488
Bayside High School,1111
Beacon High School,528
Bedford Academy High School,348
Bedford Stuyvesant Preparatory High School,218
Belmont Preparatory High School,400
Benjamin Banneker Academy,592
Benjamin N. Cardozo High School,1042
Boys and Girls High School,828
Bread & Roses Integrated Arts High School,512
Brighter Choice Community School,122
Bronx Academy of Health Careers,814
Bronx Academy of Letters,795
Bronx Aerospace High School,778
Bronx Center for Science and Mathematics,541
Bronx Coalition Community High School,124
Bronx Dance Academy School,404
Bronx Early College Academy for Teaching & Learning,625
Bronx Engineering and Technology Academy,505
Bronx Expeditionary Learning High School,595
Bronx Green Middle School,704
Bronx Health Sciences High School,488
Bronx High School for Law and Community Service,638
Bronx High School for Medical Science,625
Bronx High School for Writing and Communication Arts,511
Bronx High School for the Visual Arts,752
Bronx High School of Business,557
Bronx High School of Science,592
Bronx International High School,140
Bronx Lab School,561
Bronx Latin,510
Bronx Leadership Academy High School,682
Bronx Leadership Academy II High School,664
Bronx Little School,159
Bronx Regional High School,327
"Bronx School for Law, Government and Justice",1368
Bronx School of Law and Finance,608
Bronx Studio School for Writers and Artists,522
Bronx Theatre High School,623
Bronx Writing Academy,334
Brooklyn Academy High School,257
