,name,iata,oaci,fleet_size,img_ext,timestamp
0,21 Air,CSB,2I,2,https://images.flightradar24.com/assets/airlines/logotypes/1545.png,2024-02-09 12:15:35.340320
1,2Excel Aviation,BRO,,25,https://images.flightradar24.com/assets/airlines/logotypes/1914.png,2024-02-09 12:15:35.340320
2,748 Air Services,IHO,FE,5,https://images.flightradar24.com/assets/airlines/logotypes/1757.png,2024-02-09 12:15:35.340320
3,9 Air,JYH,AQ,23,https://images.flightradar24.com/assets/airlines/logotypes/280.png,2024-02-09 12:15:35.340320
4,Abakan Air,NKP,S5,9,placeholder,2024-02-09 12:15:35.340320
5,Abu Dhabi Aviation,BAR,,10,placeholder,2024-02-09 12:15:35.340320
6,ABX Air,ABX,GB,14,https://images.flightradar24.com/assets/airlines/logotypes/751.png,2024-02-09 12:15:35.340320
7,Acass Ireland,SON,,3,placeholder,2024-02-09 12:15:35.340320
8,Advanced Air,WSN,AN,21,https://images.flightradar24.com/assets/airlines/logotypes/1394.png,2024-02-09 12:15:35.340320
9,Aegean Airlines,AEE,A3,62,https://images.flightradar24.com/assets/airlines/logotypes/80.png,2024-02-09 12:15:35.340320
10,Aer Lingus,EIN,EI,73,https://images.flightradar24.com/assets/airlines/logotypes/17.png,2024-02-09 12:15:35.340320
11,AerCaribe,ACL,JK,6,https://images.flightradar24.com/assets/airlines/logotypes/120.png,2024-02-09 12:15:35.340320
12,Aero,BLK,5E,6,placeholder,2024-02-09 12:15:35.340320
13,Aero,NIG,N2,7,https://www.flightradar24.com/static/images/data/operators/NIG_logo0.png,2024-02-09 12:15:35.340320
14,Aero Asahi Corporation,AKF,,11,placeholder,2024-02-09 12:15:35.340320
15,Aero Charter,GLT,,8,placeholder,2024-02-09 12:15:35.340320
16,Aero Charter and Transport,CTA,,2,placeholder,2024-02-09 12:15:35.340320
17,Aero Dili,DTL,8G,1,placeholder,2024-02-09 12:15:35.340320
18,Aero K,EOK,RF,5,https://images.flightradar24.com/assets/airlines/logotypes/1553.png,2024-02-09 12:15:35.340320
19,Aero Mongolia,MNG,M0,5,placeholder,2024-02-09 12:15:35.340320
20,Aero Nomad,ANK,KA,4,https://images.flightradar24.com/assets/airlines/logotypes/1835.png,2024-02-09 12:15:35.340320
21,Aero Sotravia,ASR,,5,placeholder,2024-02-09 12:15:35.340320
22,Aero Ways,TKK,,3,placeholder,2024-02-09 12:15:35.340320
23,Aero-Beta Flight Training,ABA,,12,placeholder,2024-02-09 12:15:35.340320
24,Aero-Dienst,ADN,,5,placeholder,2024-02-09 12:15:35.340320
25,Aeroflot,AFL,SU,172,https://images.flightradar24.com/assets/airlines/logotypes/12.png,2024-02-09 12:15:35.340320
26,AeroGuard Flight Training Center,ASI,,75,placeholder,2024-02-09 12:15:35.340320
27,Aeroitalia,AEZ,XZ,12,https://images.flightradar24.com/assets/airlines/logotypes/2045.png,2024-02-09 12:15:35.340320
28,Aerolineas Argentinas,ARG,AR,85,https://www.flightradar24.com/static/images/data/operators/ARG_logo0.png,2024-02-09 12:15:35.340320
29,Aerolineas Ejecutivas,LET,,23,placeholder,2024-02-09 12:15:35.340320
30,Aerolineas Sosa,NSO,P4,2,placeholder,2024-02-09 12:15:35.340320
31,AeroLogic,BOX,3S,14,https://www.flightradar24.com/static/images/data/operators/BOX_logo0.png,2024-02-09 12:15:35.340320
32,Aeromas,MSM,UY,2,placeholder,2024-02-09 12:15:35.340320
33,Aeromexico,AMX,AM,106,https://images.flightradar24.com/assets/airlines/logotypes/63.png,2024-02-09 12:15:35.340320
34,Aeromexico Connect,SLI,5D,39,https://www.flightradar24.com/static/images/data/operators/SLI_logo0.png,2024-02-09 12:15:35.340320
35,Aeronaves TSM,VTM,,78,https://images.flightradar24.com/assets/airlines/logotypes/575.png,2024-02-09 12:15:35.340320
36,Aeropartner,DFC,,8,https://images.flightradar24.com/assets/airlines/logotypes/1568.png,2024-02-09 12:15:35.340320
37,Aeroregional,RER,,4,placeholder,2024-02-09 12:15:35.340320
38,Aeroservicios de la Costa,TAA,,6,placeholder,2024-02-09 12:15:35.340320
39,Aerostan,BSC,KW,5,https://images.flightradar24.com/assets/airlines/logotypes/1608.png,2024-02-09 12:15:35.340320
40,Aerosucre,KRE,A4,6,placeholder,2024-02-09 12:15:35.340320
41,Aerotec,AEP,,15,placeholder,2024-02-09 12:15:35.340320
42,Aerotours,ATU,,3,placeholder,2024-02-09 12:15:35.340320
43,Aerotranscargo,ATG,F5,6,placeholder,2024-02-09 12:15:35.340320
44,AeroUnion,TNO,6R,5,https://www.flightradar24.com/static/images/data/operators/TNO_logo0.png,2024-02-09 12:15:35.340320
45,Aerovias DAP,DAP,V5,10,https://images.flightradar24.com/assets/airlines/logotypes/1549.png,2024-02-09 12:15:35.340320
46,Aerovis Airlines,VIZ,,4,https://images.flightradar24.com/assets/airlines/logotypes/439.png,2024-02-09 12:15:35.340320
47,Aeroways,MCK,,6,placeholder,2024-02-09 12:15:35.340320
48,Aerus,RFD,ZV,5,placeholder,2024-02-09 12:15:35.340320
